"","Trust_politicians","vote","happy","gender","house_income"
"174",5,"Yes",10,"Female",7
"175",5,"Yes",9,"Female",9
"176",6,"Yes",8,"Female",9
"177",7,"Yes",9,"Male",9
"178",8,"Yes",9,"Male",5
"179",6,"Yes",8,"Female",9
"180",4,"Yes",8,"Male",10
"181",5,"Yes",8,"Male",9
"182",4,"Yes",9,"Female",2
"183",9,"No",8,"Female",10
"184",6,"Yes",9,"Female",8
"185",7,"Yes",9,"Male",5
"186",6,"Yes",7,"Female",7
"187",5,"Yes",5,"Male",3
"188",6,"Yes",9,"Male",6
"189",6,"Yes",10,"Male",4
"190",7,"Yes",8,"Female",4
"191",0,"Not eligible to vote",8,"Male",2
"192",4,"Yes",8,"Male",9
"193",6,"Yes",8,"Female",9
"194",6,"Yes",8,"Male",9
"195",6,"Yes",9,"Male",5
"196",5,"Yes",10,"Female",4
"197",5,"Yes",8,"Female",7
"198",1,"Not eligible to vote",9,"Male",NA
"199",8,"Not eligible to vote",9,"Male",3
"200",8,"Yes",8,"Female",6
"201",8,"Yes",10,"Female",7
"202",7,"Yes",6,"Female",8
"203",5,"Yes",8,"Male",3
"204",5,"No",9,"Female",3
"205",4,"Yes",9,"Male",4
"206",6,"Yes",8,"Male",2
"207",7,"Yes",9,"Male",10
"208",4,"Yes",8,"Male",6
"209",4,"Yes",6,"Female",3
"210",8,"No",9,"Male",6
"211",5,"Yes",7,"Male",7
"212",4,"Yes",9,"Female",8
"213",6,"Yes",8,"Female",1
"214",2,"Yes",5,"Female",3
"215",5,"Yes",8,"Female",8
"216",5,"Yes",7,"Male",9
"217",6,"Yes",8,"Female",7
"218",1,"Yes",8,"Male",7
"219",5,"Yes",10,"Female",NA
"220",8,"Yes",10,"Male",6
"221",2,"No",6,"Male",4
"222",5,"Yes",8,"Male",8
"223",7,"No",8,"Female",5
"224",3,"No",8,"Male",1
"225",5,"Yes",5,"Male",1
"226",2,"Yes",10,"Female",3
"227",4,"No",7,"Male",5
"228",3,"Yes",8,"Male",4
"229",7,"Yes",8,"Female",10
"230",3,"Yes",8,"Female",3
"231",7,"Yes",7,"Female",10
"232",4,"Yes",8,"Female",2
"233",4,"Yes",9,"Male",8
"234",8,"Not eligible to vote",7,"Male",3
"235",0,"Not eligible to vote",10,"Male",NA
"236",6,"Yes",9,"Male",8
"237",4,"No",9,"Male",NA
"238",0,"No",5,"Male",NA
"239",2,"No",4,"Male",3
"240",6,"Yes",10,"Female",5
"241",6,"Yes",6,"Male",4
"242",3,"Yes",8,"Male",3
"243",5,"Yes",8,"Female",NA
"244",5,"Not eligible to vote",8,"Male",2
"245",3,"Not eligible to vote",8,"Female",6
"246",6,"Yes",8,"Female",8
"247",8,"No",8,"Male",4
"248",9,"Yes",4,"Male",5
"249",0,"Yes",9,"Male",NA
"250",2,"Yes",7,"Male",5
"251",5,"Yes",8,"Male",6
"252",7,"Not eligible to vote",8,"Female",5
"253",6,"Yes",7,"Female",NA
"254",5,"Not eligible to vote",8,"Male",3
"255",7,"Yes",5,"Male",6
"256",6,"Not eligible to vote",6,"Male",6
"257",5,"Yes",8,"Male",3
"258",7,"No",5,"Male",2
"259",3,"Not eligible to vote",7,"Female",5
"260",3,"Yes",8,"Female",2
"261",4,"Yes",8,"Male",4
"262",7,"No",9,"Male",5
"263",6,"Yes",9,"Male",7
"264",4,"Yes",9,"Female",9
"265",3,"Yes",9,"Female",5
"266",1,"Yes",6,"Male",4
"267",5,"Yes",10,"Female",3
"268",5,"Not eligible to vote",7,"Male",5
"269",5,"Yes",7,"Male",7
"270",6,"Yes",5,"Female",7
"271",4,"Yes",9,"Female",2
"272",4,"Yes",9,"Male",NA
"273",7,"Not eligible to vote",10,"Female",5
"274",5,"Yes",8,"Male",4
"275",6,"No",9,"Female",8
"276",6,"Yes",9,"Female",6
"277",5,"Yes",5,"Male",7
"278",5,"Not eligible to vote",7,"Male",2
"279",5,"Yes",8,"Male",4
"280",6,"Yes",8,"Male",10
"281",6,"No",9,"Male",2
"282",7,"Yes",7,"Male",1
"283",6,"Yes",9,"Male",10
"284",6,"Yes",9,"Female",1
"285",0,"Not eligible to vote",9,"Female",1
"286",3,"Yes",9,"Female",5
"287",1,"Not eligible to vote",5,"Male",3
"288",7,"Not eligible to vote",4,"Female",10
"289",3,"Not eligible to vote",7,"Male",3
"290",5,"Yes",7,"Male",3
"291",6,"Yes",9,"Female",10
"292",9,"Yes",10,"Male",8
"293",7,"No",9,"Male",9
"294",7,"Yes",9,"Female",10
"295",7,"Yes",8,"Male",8
"296",7,"Yes",8,"Female",2
"297",8,"Yes",10,"Female",5
"298",5,"Yes",7,"Female",4
"299",7,"Yes",8,"Male",9
"300",5,"Yes",10,"Female",NA
"301",2,"Yes",7,"Female",9
"302",8,"Yes",8,"Female",4
"303",5,"Not eligible to vote",8,"Female",3
"304",5,"Yes",7,"Female",5
"305",8,"Not eligible to vote",7,"Male",8
"306",4,"Yes",6,"Male",10
"307",8,"Not eligible to vote",8,"Male",8
"308",10,"Yes",3,"Male",5
"309",6,"Yes",8,"Female",8
"310",7,"Yes",9,"Female",10
"311",7,"Yes",9,"Female",8
"312",0,"Not eligible to vote",8,"Male",1
"313",5,"No",7,"Female",1
"314",6,"Not eligible to vote",7,"Female",10
"315",6,"Yes",8,"Female",8
"316",7,"No",9,"Female",10
"317",3,"Yes",6,"Female",9
"318",7,"Yes",7,"Male",4
"319",6,"Yes",8,"Male",5
"320",3,"Yes",10,"Male",4
"321",5,"Yes",9,"Female",10
"322",6,"Yes",9,"Female",10
"323",5,"Yes",7,"Female",5
"324",6,"Yes",8,"Male",9
"325",2,"Yes",9,"Male",5
"326",7,"Yes",8,"Female",10
"327",5,"Not eligible to vote",8,"Female",9
"328",4,"Not eligible to vote",9,"Male",4
"329",6,"Yes",7,"Female",3
"330",5,"Yes",10,"Female",4
"331",7,"Yes",10,"Male",9
"332",8,"Yes",8,"Female",8
"333",5,"Yes",9,"Female",2
"334",5,"Yes",7,"Female",2
"335",4,"Yes",10,"Female",8
"336",7,"Not eligible to vote",7,"Female",2
"337",6,"Yes",4,"Male",8
"338",NA,"Not eligible to vote",9,"Male",10
"339",6,"Yes",7,"Male",3
"340",5,"Yes",8,"Male",10
"341",7,"Yes",7,"Female",3
"342",7,"Yes",8,"Male",7
"343",5,"Yes",8,"Male",2
"344",5,"Yes",6,"Male",3
"345",7,"Yes",8,"Male",7
"346",4,"Yes",8,"Male",2
"347",9,"Yes",7,"Male",2
"348",7,"Not eligible to vote",7,"Male",2
"349",8,"Not eligible to vote",8,"Male",2
"350",7,"Yes",7,"Male",4
"351",7,"Yes",8,"Female",NA
"352",7,"No",9,"Male",9
"353",6,"Yes",7,"Female",2
"354",4,"Yes",8,"Female",10
"355",7,"Yes",10,"Female",6
"356",0,"No",10,"Male",7
"357",9,"Yes",10,"Male",10
"358",6,"Yes",7,"Female",6
"359",8,"Yes",7,"Male",2
"360",6,"Yes",8,"Male",7
"361",4,"Yes",10,"Male",7
"362",8,"Yes",9,"Female",5
"363",3,"Not eligible to vote",4,"Male",10
"364",5,"Yes",8,"Female",6
"365",4,"Yes",9,"Male",7
"366",6,"Yes",7,"Male",6
"367",6,"Yes",8,"Female",10
"368",8,"Not eligible to vote",10,"Male",10
"369",4,"Yes",7,"Female",4
"370",3,"Yes",7,"Male",8
"371",7,"Yes",8,"Female",10
"372",5,"Yes",9,"Female",7
"373",5,"Yes",3,"Male",7
"374",5,"Not eligible to vote",7,"Female",5
"375",2,"Not eligible to vote",8,"Male",NA
"376",4,"Yes",9,"Male",5
"377",4,"No",6,"Female",3
"378",6,"No",2,"Female",3
"379",5,"Yes",7,"Male",5
"380",4,"Yes",9,"Male",6
"381",7,"No",8,"Female",6
"382",6,"Yes",8,"Female",10
"383",7,"Yes",9,"Female",2
"384",6,"Yes",8,"Female",8
"385",2,"Yes",7,"Male",1
"386",8,"No",10,"Male",9
"387",6,"No",9,"Female",10
"388",6,"Yes",10,"Female",2
"389",6,"Yes",4,"Male",5
"390",4,"Yes",9,"Female",4
"391",7,"Yes",10,"Female",6
"392",7,"Yes",9,"Female",8
"393",5,"Yes",8,"Female",3
"394",7,"Yes",9,"Male",8
"395",4,"Yes",8,"Female",8
"396",7,"Yes",8,"Male",10
"397",5,"Yes",7,"Male",9
"398",6,"Yes",8,"Female",4
"399",8,"Not eligible to vote",8,"Male",7
"400",7,"Yes",8,"Male",3
"401",6,"Not eligible to vote",10,"Female",7
"402",6,"Yes",8,"Female",8
"403",3,"Yes",8,"Female",7
"404",8,"Yes",8,"Female",2
"405",4,"Yes",7,"Male",3
"406",5,"Yes",7,"Male",8
"407",10,"Yes",10,"Male",2
"408",6,"Yes",9,"Male",10
"409",4,"Yes",10,"Female",8
"410",5,"Yes",8,"Male",10
"411",6,"Yes",8,"Female",7
"412",2,"Yes",9,"Male",9
"413",7,"Yes",9,"Female",2
"414",6,"Yes",8,"Male",1
"415",6,"Yes",10,"Female",4
"416",5,"Yes",8,"Female",9
"417",8,"Yes",7,"Female",3
"418",4,"No",8,"Male",3
"419",6,"Yes",5,"Male",2
"420",6,"Yes",8,"Male",8
"421",5,"Yes",8,"Male",8
"422",6,"Yes",7,"Female",2
"423",7,"Yes",8,"Female",5
"424",8,"Yes",7,"Male",10
"425",5,"Yes",10,"Female",4
"426",9,"Yes",5,"Male",5
"427",0,"Not eligible to vote",5,"Female",1
"428",1,"Yes",7,"Female",9
"429",7,"Yes",9,"Female",4
"430",6,"Yes",5,"Male",2
"431",4,"Yes",8,"Female",4
"432",5,"Not eligible to vote",6,"Male",2
"433",6,"Yes",9,"Female",6
"434",5,"Yes",9,"Female",5
"435",4,"Yes",6,"Female",6
"436",5,"Yes",8,"Male",6
"437",3,"Yes",7,"Male",6
"438",5,"Not eligible to vote",5,"Male",10
"439",6,"Yes",8,"Male",5
"440",6,"Yes",9,"Male",10
"441",7,"Yes",10,"Male",10
"442",3,"Yes",9,"Male",9
"443",5,"Not eligible to vote",8,"Male",5
"444",7,"No",0,"Female",1
"445",5,"Yes",5,"Female",NA
"446",7,"Yes",6,"Male",2
"447",4,"Yes",9,"Female",10
"448",5,"Yes",10,"Female",2
"449",8,"Yes",9,"Female",6
"450",4,"Yes",6,"Male",5
"451",5,"Yes",8,"Female",2
"452",6,"Yes",9,"Male",3
"453",5,"Yes",8,"Female",1
"454",5,"Yes",4,"Female",NA
"455",7,"Yes",8,"Female",7
"456",4,"Yes",8,"Female",5
"457",6,"Yes",8,"Male",6
"458",6,"Yes",9,"Male",5
"459",6,"Yes",10,"Male",10
"460",8,"Yes",8,"Male",5
"461",3,"No",8,"Female",5
"462",8,"Not eligible to vote",8,"Female",NA
"463",7,"Yes",9,"Male",6
"464",3,"Yes",9,"Female",6
"465",5,"No",10,"Male",4
"466",4,"Yes",5,"Female",4
"467",6,"Yes",10,"Female",5
"468",3,"Yes",9,"Male",6
"469",5,"Yes",8,"Female",4
"470",2,"Yes",7,"Female",10
"471",5,"Yes",7,"Male",2
"472",5,"Yes",7,"Male",8
"473",5,"Not eligible to vote",8,"Male",6
"474",7,"Yes",9,"Female",9
"475",4,"Yes",9,"Male",5
"476",4,"Yes",9,"Female",4
"477",6,"Yes",8,"Male",9
"478",6,"No",8,"Female",4
"479",7,"Yes",8,"Male",9
"480",1,"Yes",8,"Male",6
"481",2,"Yes",8,"Male",3
"482",4,"Yes",9,"Female",3
"483",1,"Yes",3,"Female",1
"484",5,"Yes",8,"Male",1
"485",3,"Yes",8,"Female",2
"486",4,"Yes",9,"Male",8
"487",6,"Yes",10,"Male",8
"488",6,"Yes",9,"Female",2
"489",5,"Yes",6,"Female",2
"490",6,"Yes",6,"Female",4
"491",5,"Yes",5,"Female",1
"492",7,"Yes",9,"Male",4
"493",6,"Yes",9,"Male",4
"494",7,"Yes",5,"Female",6
"495",5,"No",9,"Female",4
"496",7,"Yes",9,"Male",7
"497",5,"Not eligible to vote",8,"Male",7
"498",4,"Yes",10,"Male",5
"499",5,"Yes",6,"Male",2
"500",3,"Yes",7,"Male",5
"501",8,"Yes",10,"Female",4
"502",7,"Yes",7,"Female",6
"503",7,"Yes",8,"Female",6
"504",5,"Yes",7,"Female",2
"505",7,"Yes",8,"Female",8
"506",3,"Yes",8,"Female",2
"507",5,"Yes",8,"Male",3
"508",6,"Yes",8,"Male",4
"509",7,"Not eligible to vote",7,"Female",7
"510",6,"Yes",8,"Female",2
"511",4,"Yes",8,"Male",5
"512",3,"Yes",9,"Male",10
"513",6,"Yes",9,"Male",4
"514",2,"Yes",8,"Male",2
"515",5,"Yes",7,"Male",1
"516",3,"Yes",8,"Female",2
"517",3,"Yes",8,"Female",5
"518",4,"Yes",9,"Female",6
"519",6,"Yes",9,"Female",1
"520",5,"Not eligible to vote",10,"Male",NA
"521",8,"Yes",7,"Male",4
"522",7,"Yes",8,"Male",3
"523",5,"Yes",7,"Male",2
"524",6,"Not eligible to vote",8,"Male",1
"525",2,"Yes",5,"Male",8
"526",7,"Yes",10,"Male",7
"527",5,"No",7,"Female",4
"528",5,"Yes",6,"Male",8
"529",5,"Yes",8,"Male",2
"530",6,"Yes",8,"Female",3
"531",5,"Yes",5,"Male",1
"532",6,"Yes",8,"Male",2
"533",3,"Yes",7,"Female",5
"534",5,"Yes",8,"Male",9
"535",7,"Not eligible to vote",9,"Male",7
"536",2,"Yes",9,"Female",4
"537",7,"Yes",9,"Male",10
"538",6,"Yes",5,"Female",3
"539",8,"Yes",10,"Male",6
"540",1,"Yes",10,"Male",4
"541",2,"Yes",10,"Female",2
"542",4,"Yes",9,"Male",8
"543",2,"Yes",8,"Male",4
"544",4,"Yes",9,"Male",4
"545",6,"Yes",8,"Female",7
