"id","kjonn","alder","okonomi","polskala","abort"
471,1,20,2,2,5
472,1,25,3,2,4
473,1,22,2,1,5
476,0,32,2,2,1
477,1,53,2,2,3
478,1,50,2,2,3
479,0,37,2,5,1
481,1,45,3,1,5
483,1,65,3,6,2
484,0,45,1,2,5
487,1,16,2,1,5
488,0,37,2,2,4
489,1,36,2,5,1
490,0,74,2,1,1
494,1,40,1,6,1
495,0,51,2,1,2
496,1,31,2,2,5
497,1,39,3,3,3
498,0,45,2,2,4
500,0,35,2,1,1
502,0,26,3,NA,5
503,1,25,2,1,4
504,1,42,2,1,5
505,1,38,3,1,4
508,1,28,3,2,1
509,0,37,2,2,3
511,1,20,3,3,2
512,0,31,2,3,4
517,1,52,3,2,4
518,1,22,2,1,5
519,0,24,2,5,1
520,1,22,2,6,2
527,0,20,NA,1,1
529,1,24,2,1,4
530,1,52,2,3,3
532,0,33,3,2,1
533,1,48,2,1,4
536,1,26,1,3,4
540,0,43,2,2,1
541,1,22,2,1,5
542,1,28,2,2,4
543,0,67,3,1,2
544,0,40,2,2,NA
545,0,70,2,1,2
546,0,44,2,1,5
547,1,61,2,2,4
548,1,38,1,3,4
552,1,42,3,2,1
553,0,44,1,1,3
554,1,67,2,6,1
556,0,50,2,2,4
557,1,44,1,2,2
558,1,50,2,2,3
559,1,35,2,1,4
560,1,48,2,2,4
563,1,40,2,1,4
565,0,18,2,1,5
566,1,39,2,3,3
567,1,20,2,2,4
572,0,44,2,6,5
576,0,54,1,6,1
577,0,61,2,2,3
580,1,27,2,1,5
582,1,36,2,2,2
584,1,49,2,2,5
586,1,64,2,2,NA
587,1,25,2,2,4
588,0,16,2,3,1
589,1,54,2,2,5
591,0,77,2,1,NA
592,1,64,2,4,1
594,1,35,2,2,2
596,0,49,2,2,4
597,1,44,1,1,4
599,0,16,3,1,5
600,1,37,3,2,4
601,1,25,2,1,5
602,1,30,2,1,5
603,1,24,2,6,1
604,1,22,3,2,1
605,1,78,3,3,4
606,1,51,2,3,2
610,0,47,NA,2,4
611,1,21,NA,6,2
617,0,16,3,1,NA
618,0,22,2,2,5
619,0,67,2,3,2
622,1,30,2,2,4
623,1,40,2,2,5
624,1,51,3,2,4
627,1,32,1,2,5
630,1,46,3,5,1
632,1,45,2,4,1
635,0,41,3,2,3
636,0,18,2,1,3
637,1,18,2,6,2
638,1,42,2,1,5
639,1,56,2,3,2
642,1,37,3,2,4
643,1,17,1,2,4
646,0,16,3,2,NA
648,0,39,1,1,1
650,1,31,1,1,5
651,0,37,2,2,3
652,1,19,2,1,4
653,1,41,3,2,1
654,1,45,3,1,4
655,1,33,2,1,4
659,1,68,3,2,3
660,1,22,3,2,4
661,0,49,2,2,5
664,1,69,3,3,2
667,1,24,3,2,5
668,1,26,2,2,4
669,1,32,3,2,2
670,0,68,2,2,3
675,1,40,2,1,3
676,1,59,2,2,2
678,1,62,2,2,2
679,0,16,3,1,4
680,0,17,2,6,1
683,1,29,2,2,5
684,0,44,2,1,4
686,0,72,2,2,5
689,1,24,2,1,2
691,1,39,3,3,NA
692,0,68,1,2,3
693,1,45,2,2,4
694,0,17,3,1,5
697,1,57,2,2,2
699,1,34,3,2,5
701,0,66,2,2,2
703,0,40,3,1,2
705,0,39,2,1,4
708,0,69,2,2,4
709,0,22,2,5,4
710,1,48,2,2,2
713,1,19,2,1,5
714,NA,29,1,1,5
716,1,44,3,1,2
717,1,25,3,1,2
718,0,62,2,1,1
720,0,16,2,6,2
721,1,38,3,2,4
722,1,38,2,1,3
725,1,20,3,1,3
726,1,37,2,2,3
727,0,45,2,1,4
728,1,54,2,2,4
730,1,40,3,3,1
732,0,45,2,2,3
735,0,33,2,2,4
736,1,62,2,1,4
737,1,57,3,1,4
738,1,59,2,3,3
740,0,45,3,1,4
742,0,36,2,1,5
743,1,32,3,2,5
